tc,group,desc,verdict,expect,actual,repro
TC-01,A,"A→B, B→A 2행 적재 (bom_header ACTIVE)",PASS,두 번째 INSERT 거부 + 순환 경로 명시,IntegrityError: BOM 순환 참조 또는 레벨 초과 ← 경로는 메시지에 없다(R-19),
TC-02,A,A→B→C→A (3단),PASS,순환 경로 A→B→C→A 보고,IntegrityError: BOM 순환 참조 또는 레벨 초과,
TC-03,A,FS-7010 → FS-7010 (실데이터 자기참조),PASS,거부,IntegrityError: BOM 순환 참조 또는 레벨 초과,
TC-04,A,'HA-3000/EX-5000' 를 부모로 INSERT,PASS,구조적으로 불가 (부모가 item_id FK),bom_line.bom_id→bom_header.parent_item_id→item.item_id 라 슬래시 부모가 표현 불가. 단 pn='HA-3000/EX-5000' 품목 등록은 막히지 않는다(통과) → 의견 R-20,
TC-05,A,같은 부모에 같은 자식 2행 (valid_from 동일),PASS,ux_bom_line_dup 로 거부,IntegrityError: BOM 라인 유효일자 겹침,
TC-06,A,"같은 부모-자식, 기간 겹치게 2행 (시작일만 다름)",PASS,R-9 트리거로 거부,IntegrityError: BOM 라인 유효일자 겹침,
TC-07,A,존재하지 않는 자식 item_id (GHOST),PASS,FK 거부,IntegrityError: FOREIGN KEY constraint failed,
TC-08,A,고아 품목 (R-4 점검 쿼리),PASS,0건 (정제 후 모든 비-FG 품목이 어느 라인의 자식),0건 [],
TC-09,A,루트에서 도달 불가한 품목,PASS,0건,0건 [],
TC-10,A,최대 레벨,PASS,4 (§3.2 목표 트리 L4),4,
TC-10b,A,미아 조립품 (R-5),PASS,0건,0건 [],
TC-10c,A,수량 0 (R-6),PASS,CHECK(qty_per>0) 거부,IntegrityError: CHECK constraint failed: qty_per > 0,
TC-10d,A,수량 음수 (R-6),PASS,CHECK(qty_per>0) 거부,IntegrityError: CHECK constraint failed: qty_per > 0,
TC-10e,A,scrap_pct 100 (0 나눗셈 유발),PASS,CHECK(scrap_pct<100) 거부,IntegrityError: CHECK constraint failed: scrap_pct >= 0 AND scrap_pct < 100,
TC-10f,A,scrap_pct 음수,PASS,CHECK(scrap_pct>=0) 거부,IntegrityError: CHECK constraint failed: scrap_pct >= 0 AND scrap_pct < 100,
TC-10g,A,bom_header.base_qty = 0 (전개에서 0 나눗셈),PASS,CHECK(base_qty>0) 거부,IntegrityError: CHECK constraint failed: base_qty > 0,
TC-11,B,완성품 1대 전개 (차원별 합계) — V-3,PASS,"{'EA': 76.0, 'g': 221.0, 'SHT': 12.0, 'kg': 0.85, 'm': 0.5}","{'EA': 76.0, 'SHT': 12.0, 'g': 221.0, 'kg': 0.85, 'm': 0.5}",
TC-11b,B,V-3 품목별 대조 — 원천 09_Flat 49행 ↔ 전개 말단,FAIL,품목·수량 전부 일치,"원천에만 [('FS-7020', 'EA'), ('SC-1010', 'EA')] · 새 구조에만 [('FS-7023', 'EA'), ('PK-0010', 'EA')] · 수량 다름 0건",
TC-12,B,완성품 100대 전개 = 1대 × 100,PASS,"{'EA': 7600.0, 'g': 22100.0, 'SHT': 1200.0, 'm': 50.0, 'kg': 85.0}","{'EA': 7600.0, 'g': 22100.0, 'SHT': 1200.0, 'm': 50.0, 'kg': 85.0}",
TC-13,B,현행 원천 그대로 전개 (EA 58 회귀 고정),BLOCK,EA 58,새 스키마에는 현행 결함 데이터가 들어가지 않는다(정제가 적재 전제). 라운드 1 selftest.py 가 계속 담당 — 이 회귀 감시를 v1.0 이행 [2] 대조에 남길 것,
TC-14,B,b≠1 — GB-8000 을 완성품당 2개로,PASS,EA 81 (76+5) · g 246 (221+25),"{'EA': 81.0, 'g': 246.0, 'SHT': 12.0, 'm': 0.5, 'kg': 0.85}",
TC-15,B,레벨 4 전개 · SC-1011 경로 (SC-1010→SC-1010P→SC-1011),PASS,kg 0.85 · 깊이 4,kg 0.85 · 깊이 4,
TC-16,B,순환이 남아 있는 상태에서 전개,FAIL,멈춤 + 순환 경로 보고 (2초 내),0.2 ms 에 끝나지만 **순환을 보고하지 않는다**. 깊이 가드(10)로 조용히 잘린다. 최대 깊이 10 · 행 83 — 전개값이 틀린 채 화면에 나간다,
TC-17,B,레벨별 누적 수량,PASS,레벨별 소계 조회 가능,"{1: 10, 2: 47, 3: 1, 4: 1}",
TC-54,B,base_qty=80 (SC-1010P) 나눗셈 — 반올림 오차 0,PASS,SC-1011 정확히 0.85 kg,0.85 (오차 0.000e+00),
TC-55,B,팬텀 전개 — 합계 제외 + 경로 유지,PASS,합계에서 제외 · where-used 경로에 HA-3000 남음 · 자식 7종,합계 포함=False · 경로유지=True · HA 자식 7종 · 팬텀 노드 3개는 전개 트리에 남는다,
TC-18,C,OR-5020 역전개,PASS,BLDC-500W-48V → EX-5000 → OR-5020,['BLDC-500W-48V > EX-5000 > OR-5020'],
TC-19,C,BT-3070 역전개,PASS,BLDC-500W-48V → HA-3000 → BT-3070,['BLDC-500W-48V > HA-3000 > BT-3070'],
TC-V6,C,BF-3040 역전개,PASS,BLDC-500W-48V → HA-3000 → BF-3040,['BLDC-500W-48V > HA-3000 > BF-3040'],
TC-20,C,부모가 2개인 품목 역전개 (OR-5020 을 EX-5000·FS-7020 공용으로),PASS,상위 경로 2개 전부,"['BLDC-500W-48V > EX-5000 > OR-5020', 'BLDC-500W-48V > FS-7020 > OR-5020']",
TC-20b,C,다부모 품목의 정전개 수량 합산,PASS,EA 78 (76 + OR-5020 2개),78.0,
TC-21,C,"같은 자식이 한 부모 밑에 2번 (다른 line_no, 같은 시작일)",PASS,거부 또는 수량 합산,IntegrityError: BOM 라인 유효일자 겹침,
TC-21b,C,같은 자식 · 시작일만 다르게 (겹침),PASS,R-9 트리거로 거부,IntegrityError: BOM 라인 유효일자 겹침,
