pn,rule,action,source
FS-7010,P-2,조립품 지위 해제 → 완성품 직하 단품,§9.2 P-2
SC-1011,P-3,부모 'SA-1000' → 'SC-1010P',§9.2 P-3
HS-3010,P-1,부모 'HA-3000/EX-5000' → 'HA-3000',§9.2 P-1
BP-3020F,P-1,부모 'HA-3000/EX-5000' → 'HA-3000',§9.2 P-1
BP-3020R,P-1,부모 'HA-3000/EX-5000' → 'HA-3000',§9.2 P-1
BF-3040,P-1,부모 'HA-3000/EX-5000' → 'HA-3000',§9.2 P-1
BR-3050,P-1,부모 'HA-3000/EX-5000' → 'HA-3000',§9.2 P-1
WW-3060,P-1,부모 'HA-3000/EX-5000' → 'HA-3000',§9.2 P-1
BT-3070,P-1,부모 'HA-3000/EX-5000' → 'HA-3000',§9.2 P-1
NP-5010,P-1,부모 'HA-3000/EX-5000' → 'EX-5000',§9.2 P-1
OR-5020,P-1,부모 'HA-3000/EX-5000' → 'EX-5000',§9.2 P-1
CG-5030,P-1,부모 'HA-3000/EX-5000' → 'EX-5000',§9.2 P-1
FS-7010,P-2,자기참조 행 삭제 (L1 등재만 남긴다),§9.2 P-2
FS-7020,P-2,자식 개번 FS-7020 → FS-7023 (쟁점 1·PM 미승인),§9.2 P-2
SC-1010P,P-8/P-9,신규 품목 등록 (쟁점 2·PM 미승인),§4.3 / §9.2
FS-7023,P-8/P-9,신규 품목 등록 (쟁점 2·PM 미승인),§4.3 / §9.2
PK-0010,P-8/P-9,신규 품목 등록 (쟁점 2·PM 미승인),§4.3 / §9.2
SC-1010P,P-9,BOP 축약 '블랭킹편 ×80' → SC-1010P 80 SHT 라인 신설,§9.2 P-9
PK-0010,P-9,"BOP 'NP-5010, Carton' 의 Carton → PK-0010 1 EA 라인 신설",§9.2 P-9
