op,seq,line,name,ctSec,kind,stagePn
OP-A10,1,아마추어 라인,규소강판 블랭킹,0.5,표준,SA-1000
OP-A20,2,아마추어 라인,코어 적층/결합,25.0,표준,SA-1000
OP-A30,3,아마추어 라인,인슐레이터 조립,20.0,표준,SA-1000
OP-A40,4,아마추어 라인,Needle Winding (권선),90.0,병목,SA-1000
OP-A50,5,아마추어 라인,결선/포밍,40.0,표준,SA-1000
OP-A60,6,아마추어 라인,리드선 납땜,30.0,표준,SA-1000
OP-A70,7,아마추어 라인,절연저항/내전압,15.0,QC,SA-1000
OP-A80,8,아마추어 라인,바니시 함침 (VPI),300.0,배치,SA-1000
OP-A90,9,아마추어 라인,큐어링/건조,3600.0,배치,SA-1000
OP-A100,10,아마추어 라인,아마추어 최종검사,20.0,완성,SA-1000
OP-B10,1,조립 라인,샤프트/로터코어 압입,15.0,표준,RA-2000
OP-B20,2,조립 라인,마그넷 접착,40.0,표준,RA-2000
OP-B30,3,조립 라인,마그넷 착자,10.0,표준,RA-2000
OP-B40,4,조립 라인,로터 다이나믹 밸런싱,45.0,표준,RA-2000
OP-B50,5,조립 라인,스테이터 압입 (Housing),30.0,표준,HS-3010
OP-B60,6,조립 라인,베어링 압입,25.0,표준,BP-3020
OP-B70,7,조립 라인,로터 삽입,20.0,표준,RA-2000
OP-B80,8,조립 라인,브라켓 체결,30.0,표준,BP-3020
OP-B85,9,조립 라인,기어박스 조립,50.0,표준,GB-8000
OP-B87,10,조립 라인,파킹락 조립,25.0,표준,PL-9000
OP-B90,11,조립 라인,Power Electronics 조립,60.0,표준,PE-6000
OP-B100,12,조립 라인,커넥터/케이블 결선,25.0,표준,PE-6000
OP-B110,13,조립 라인,성능/기능 시험,60.0,병목,
OP-B120,14,조립 라인,각인/외관검사/포장,30.0,완성,
