tc,group,desc,verdict,expect,actual,note
TC-01,A,"A→B, B→A (ACTIVE)",PASS,거부 + R-1 접두,IntegrityError: R-1: BOM 순환 참조 — 자식의 하위 구조에 부모가 있다 (또는 깊이 64 초과),경로는 메시지에 없다(R-19 보류) — v_chk_r1_cycle 로 본다. TC-16 에서 확인
TC-01b,A,"A→B, B→A (양쪽 DRAFT) — D-3 회귀",PASS,거부,IntegrityError: R-1: BOM 순환 참조 — 자식의 하위 구조에 부모가 있다 (또는 깊이 64 초과),
TC-02,A,A→B→C→A (3단),PASS,거부,IntegrityError: R-1: BOM 순환 참조 — 자식의 하위 구조에 부모가 있다 (또는 깊이 64 초과),
TC-03,A,FS-7010 → FS-7010 (실데이터 자기참조),PASS,거부,IntegrityError: R-1: BOM 순환 참조 — 자식의 하위 구조에 부모가 있다 (또는 깊이 64 초과),
TC-04,A,'HA-3000/EX-5000' 품목·부모 등록,PASS,pn CHECK(R-20) 거부 + 구조상 복합 부모 불가,IntegrityError: CHECK constraint failed: pn NOT LIKE '%/%' AND pn NOT LIKE '% %' AND length(pn) <= 32,
TC-05,A,같은 부모에 같은 자식 2행 (valid_from 동일),PASS,거부,IntegrityError: R-9: 같은 부모·자식·대체그룹의 라인 유효기간이 겹친다,
TC-06,A,"같은 부모-자식, 기간 겹치게 (시작일만 다름)",PASS,R-9 거부,IntegrityError: R-9: 같은 부모·자식·대체그룹의 라인 유효기간이 겹친다,
TC-07,A,존재하지 않는 자식 item_id,PASS,FK 거부,IntegrityError: FOREIGN KEY constraint failed,
TC-08,A,고아 품목 (v_chk_r4_orphan),PASS,0건,0건 [],
TC-09,A,루트에서 도달 불가한 품목,PASS,0건,[],
TC-10,A,최대 레벨 (Q-1 · v_bom_line_qpp),PASS,4,Q-1 4 · 뷰 4,
TC-10b,A,미아 조립품 (v_chk_r5_lost_sa),PASS,0건,[],
TC-10h,A,R-2 최대 레벨 10 초과 (v_chk_r2_depth),PASS,0건,0,
TC-10c,A,수량 0,PASS,CHECK 거부,IntegrityError: CHECK constraint failed: qty_per > 0,
TC-10d,A,수량 음수,PASS,CHECK 거부,IntegrityError: CHECK constraint failed: qty_per > 0,
TC-10e,A,scrap_pct 100,PASS,CHECK 거부,IntegrityError: CHECK constraint failed: scrap_pct >= 0 AND scrap_pct < 100,
TC-10f,A,scrap_pct 음수,PASS,CHECK 거부,IntegrityError: CHECK constraint failed: scrap_pct >= 0 AND scrap_pct < 100,
TC-10g,A,bom_header.base_qty = 0,PASS,CHECK 거부,IntegrityError: CHECK constraint failed: base_qty > 0,
TC-11,B,완성품 1대 전개 차원별 합계 — §1.9 기대값,PASS,"{'EA': 76.0, 'g': 221.0, 'SHT': 12.0, 'kg': 0.85, 'm': 0.5}","{'EA': 76.0, 'SHT': 12.0, 'g': 221.0, 'kg': 0.85, 'm': 0.5}",
TC-11b,B,R-21 품목별 대조 — 원천 09_Flat ↔ 전개 말단,PASS,"원천에만 ['FS-7020', 'SC-1010'] · 새 구조에만 ['FS-7023', 'PK-0010'] · 수량차 0","원천에만 ['FS-7020', 'SC-1010'] · 새 구조에만 ['FS-7023', 'PK-0010'] · 수량차 0건","합계 일치(TC-11)는 검증력 0 — 이 품목별 대조가 완료기준이다(R-21, v1.0 §9.3 [2]③ 반영 확인)"
TC-12,B,100대 전개 = 1대 × 100,PASS,"{'g': 22100.0, 'EA': 7600.0, 'SHT': 1200.0, 'm': 50.0, 'kg': 85.0}","{'g': 22100.0, 'EA': 7600.0, 'SHT': 1200.0, 'm': 50.0, 'kg': 85.0}",
TC-13,B,현행 원천 그대로 전개 EA 58 (회귀 고정),BLOCK,EA 58,정제가 적재 전제라 결함 데이터가 안 들어간다 — 라운드 1 selftest.py 담당,
TC-14,B,b≠1 — GB-8000 완성품당 2개,PASS,EA 81 · g 246,"{'g': 246.0, 'EA': 81.0, 'SHT': 12.0, 'm': 0.5, 'kg': 0.85}",
TC-14b,B,같은 변경을 뷰 v_bom_line_qpp 로 (Q-4),PASS,GB-8010 2.0 · GB-8040 4.0,"{'GB-8010': 2.0, 'GB-8020': 2.0, 'GB-8030': 2.0, 'GB-8040': 4.0, 'GB-8050': 50.0}",
TC-15,B,레벨 4 경로 SC-1010→SC-1010P→SC-1011,PASS,깊이 4 · kg 0.85,깊이 4 · 0.85,
TC-54,B,base_qty=80 나눗셈 반올림 오차,PASS,정확히 0.85 (오차 0),0.85 오차 0.000e+00,
