parentPn,childPn,qtyPerParent,unit,srcLevel,source,derived,note
BLDC-500W-48V,EX-5000,1.0,SET,L1,json.subassemblies,False,네임플레이트/오링/글랜드
BLDC-500W-48V,FS-7010,1.0,EA,L1,json.subassemblies,False,메인 출력축
BLDC-500W-48V,FS-7020,1.0,EA,L1,json.subassemblies,False,하부 지지축
BLDC-500W-48V,GB-8000,1.0,EA,L1,json.subassemblies,False,스퍼기어 2단
BLDC-500W-48V,HA-3000,1.0,EA,L1,json.subassemblies,False,하우징+베어링플레이트
BLDC-500W-48V,PE-6000,1.0,EA,L1,json.subassemblies,False,인버터/제어 PCB
BLDC-500W-48V,PL-9000,1.0,EA,L1,json.subassemblies,False,래칫+파울
BLDC-500W-48V,RA-2000,1.0,EA,L1,json.subassemblies,False,착자/밸런싱 완료품
BLDC-500W-48V,SA-1000,1.0,EA,L1,json.subassemblies,False,권선/함침 완료품
FS-7010,FS-7010,1.0,EA,L2,json.parts,False,
FS-7020,FS-7020,1.0,EA,L2,json.parts,False,
FS-7020,FS-7021,1.0,EA,L2,json.parts,False,
FS-7020,FS-7022,1.0,EA,L2,json.parts,False,
FS-7020,OR-7025,2.0,EA,L2,json.parts,False,
GB-8000,GB-8010,1.0,EA,L2,json.parts,False,
GB-8000,GB-8020,1.0,EA,L2,json.parts,False,
GB-8000,GB-8030,1.0,EA,L2,json.parts,False,
GB-8000,GB-8040,2.0,EA,L2,json.parts,False,
GB-8000,GB-8050,25.0,g,L2,json.parts,False,
HA-3000/EX-5000,BF-3040,1.0,EA,L2,json.parts,False,
HA-3000/EX-5000,BP-3020F,1.0,EA,L2,json.parts,False,
HA-3000/EX-5000,BP-3020R,1.0,EA,L2,json.parts,False,
HA-3000/EX-5000,BR-3050,1.0,EA,L2,json.parts,False,
HA-3000/EX-5000,BT-3070,8.0,EA,L2,json.parts,False,
HA-3000/EX-5000,CG-5030,1.0,EA,L2,json.parts,False,
HA-3000/EX-5000,HS-3010,1.0,EA,L2,json.parts,False,
HA-3000/EX-5000,NP-5010,1.0,EA,L2,json.parts,False,
HA-3000/EX-5000,OR-5020,1.0,EA,L2,json.parts,False,
HA-3000/EX-5000,WW-3060,1.0,EA,L2,json.parts,False,
PE-6000,BB-4070,3.0,EA,L2,json.parts,False,
PE-6000,CN-4030,1.0,EA,L2,json.parts,False,
PE-6000,CP-4050,4.0,EA,L2,json.parts,False,
PE-6000,GD-4040,3.0,EA,L2,json.parts,False,
PE-6000,HK-4060,1.0,EA,L2,json.parts,False,
PE-6000,HS-4020,3.0,EA,L2,json.parts,False,
PE-6000,MO-4030,6.0,EA,L2,json.parts,False,
PE-6000,PC-4010,1.0,EA,L2,json.parts,False,
PE-6000,PC-4011,1.0,EA,L2,json.parts,False,
PE-6000,SP-4040,0.5,g,L2,json.parts,False,
PL-9000,PL-9010,1.0,EA,L2,json.parts,False,
PL-9000,PL-9020,1.0,EA,L2,json.parts,False,
PL-9000,PL-9030,1.0,EA,L2,json.parts,False,
PL-9000,PL-9040,1.0,EA,L2,json.parts,False,
RA-2000,AD-2040,0.5,g,L2,json.parts,False,
RA-2000,BW-2050,2.0,EA,L2,json.parts,False,
RA-2000,PM-2030,8.0,EA,L2,json.parts,False,
RA-2000,RC-2020,1.0,EA,L2,json.parts,False,
RA-2000,SH-2010,1.0,EA,L2,json.parts,False,
SA-1000,IN-1020L,1.0,EA,L2,json.parts,False,
SA-1000,IN-1020U,1.0,EA,L2,json.parts,False,
SA-1000,IP-1040,12.0,매,L2,json.parts,False,
SA-1000,IV-1070,15.0,g,L2,json.parts,False,
SA-1000,LC-1080,0.5,m,L2,json.parts,False,
SA-1000,LW-1050,3.0,EA,L2,json.parts,False,
SA-1000,MW-1030,180.0,g,L2,json.parts,False,
SA-1000,SC-1010,1.0,EA,L2,json.parts,False,
SA-1000,SC-1011,0.85,kg,L3,json.parts,False,
SA-1000,TM-1060,3.0,EA,L2,json.parts,False,
