pn,rule,action,source
SC-1010P,P-8/P-9,신규 품목 (TMP-SC1010P),10_BOP OP-A10 산출 '스테이터 편(片)' · OP-A20 투입 '블랭킹편 ×80'
FS-7023,P-8/P-9,신규 품목 (TMP-FS7023),08_BOM_L2_Drive 'Flange Shaft No.2 (Base)' vs 03시트 'Flange Shaft No.2 Assy'
PK-0010,P-8/P-9,신규 품목 (TMP-PK0010),10_BOP OP-B120 투입 칸
EX-5000,P-4,"SET → EA (팬텀, SET 미등록)",unit_map
SC-1011,P-3,부모 SA-1000 → SC-1010P,P-3a/b
HS-3010,P-1,부모 HA-3000/EX-5000 → HA-3000,03시트 EX-5000 비고 '네임플레이트/오링/글랜드' · 06시트 B
BP-3020F,P-1,부모 HA-3000/EX-5000 → HA-3000,03시트 EX-5000 비고 '네임플레이트/오링/글랜드' · 06시트 B
BP-3020R,P-1,부모 HA-3000/EX-5000 → HA-3000,03시트 EX-5000 비고 '네임플레이트/오링/글랜드' · 06시트 B
BF-3040,P-1,부모 HA-3000/EX-5000 → HA-3000,03시트 EX-5000 비고 '네임플레이트/오링/글랜드' · 06시트 B
BR-3050,P-1,부모 HA-3000/EX-5000 → HA-3000,03시트 EX-5000 비고 '네임플레이트/오링/글랜드' · 06시트 B
WW-3060,P-1,부모 HA-3000/EX-5000 → HA-3000,03시트 EX-5000 비고 '네임플레이트/오링/글랜드' · 06시트 B
BT-3070,P-1,부모 HA-3000/EX-5000 → HA-3000,03시트 EX-5000 비고 '네임플레이트/오링/글랜드' · 06시트 B
NP-5010,P-1,부모 HA-3000/EX-5000 → EX-5000,03시트 EX-5000 비고 '네임플레이트/오링/글랜드' · 06시트 B
OR-5020,P-1,부모 HA-3000/EX-5000 → EX-5000,03시트 EX-5000 비고 '네임플레이트/오링/글랜드' · 06시트 B
CG-5030,P-1,부모 HA-3000/EX-5000 → EX-5000,03시트 EX-5000 비고 '네임플레이트/오링/글랜드' · 06시트 B
FS-7010,P-2,자기참조 행 삭제 (완성품 직하 단품),03·08 시트 품명이 둘 다 'Main Flange Shaft No.1
FS-7020,P-2,자식 개번 → FS-7023,03시트 'Assy' vs 08시트 '(Base)' = 다른 물건에 같은
SC-1010P,P-9,SC-1010 → SC-1010P 80 SHT 라인 신설,10_BOP OP-A20 투입 '블랭킹편 ×80'
PK-0010,P-9,BLDC-500W-48V → PK-0010 1 EA 라인 신설,"10_BOP OP-B120 투입 'NP-5010, Carton'"
