op,pn,qty,unit
OP-A10,SC-1011,0.85,kg
OP-A30,IN-1020U,1.0,EA
OP-A30,IN-1020L,1.0,EA
OP-A30,SC-1010,1.0,EA
OP-A40,MW-1030,180.0,g
OP-A60,LW-1050,3.0,EA
OP-A60,TM-1060,3.0,EA
OP-A80,IV-1070,15.0,g
OP-B10,SH-2010,1.0,EA
OP-B10,RC-2020,1.0,EA
OP-B20,PM-2030,8.0,EA
OP-B20,AD-2040,0.5,g
OP-B40,BW-2050,2.0,EA
OP-B50,SA-1000,1.0,EA
OP-B50,HS-3010,1.0,EA
OP-B60,BF-3040,1.0,EA
OP-B60,BR-3050,1.0,EA
OP-B60,WW-3060,1.0,EA
OP-B70,RA-2000,1.0,EA
OP-B80,BP-3020F,1.0,EA
OP-B80,BP-3020R,1.0,EA
OP-B80,BT-3070,8.0,EA
OP-B85,GB-8010,1.0,EA
OP-B85,GB-8020,1.0,EA
OP-B85,GB-8030,1.0,EA
OP-B85,GB-8040,2.0,EA
OP-B85,GB-8050,25.0,g
OP-B87,PL-9010,1.0,EA
OP-B87,PL-9020,1.0,EA
OP-B87,PL-9030,1.0,EA
OP-B87,PL-9040,1.0,EA
OP-B90,PE-6000,1.0,EA
OP-B100,CN-4030,1.0,EA
OP-B100,CG-5030,1.0,EA
OP-B100,OR-5020,1.0,EA
OP-B120,NP-5010,1.0,EA
